#TYPE System.Diagnostics.EventLogEntry#system/Microsoft-Windows-Kernel-Power/507
"EventID","MachineName","Data","Index","Category","CategoryNumber","EntryType","Message","Source","ReplacementStrings","InstanceId","TimeGenerated","TimeWritten","UserName","Site","Container"
"507","Jongwon-D","System.Byte[]","12483","(158)","158","Information","'Microsoft-Windows-Kernel-Power' 소스의 Event ID '507'에 대한 설명을 찾을 수 없습니다. 로컬 컴퓨터에 메시지를 표시하기 위한 메시지 DLL 파일이나 필요한 레지스트리 정보가 없거나 여기에 액세스할 수 있는 사용 권한이 없기 때문일 수 있습니다. 다음 정보는 이벤트의 일부입니다.'1258', '20027338', '0', '0', '0', '20027338', '0', '91', 'false', '4', '0', '0', 'false', '0', '420631', 'false', 'true', '0'","Microsoft-Windows-Kernel-Power","System.String[]","507","2017-04-12 오후 1:26:25","2017-04-12 오후 1:26:25","NT AUTHORITY\SYSTEM",,
"506","Jongwon-D","System.Byte[]","12481","(157)","157","Information","'Microsoft-Windows-Kernel-Power' 소스의 Event ID '506'에 대한 설명을 찾을 수 없습니다. 로컬 컴퓨터에 메시지를 표시하기 위한 메시지 DLL 파일이나 필요한 레지스트리 정보가 없거나 여기에 액세스할 수 있는 사용 권한이 없기 때문일 수 있습니다. 다음 정보는 이벤트의 일부입니다.'12'","Microsoft-Windows-Kernel-Power","System.String[]","506","2017-04-12 오후 1:26:05","2017-04-12 오후 1:26:05","NT AUTHORITY\SYSTEM",,
"507","Jongwon-D","System.Byte[]","12480","(158)","158","Information","'Microsoft-Windows-Kernel-Power' 소스의 Event ID '507'에 대한 설명을 찾을 수 없습니다. 로컬 컴퓨터에 메시지를 표시하기 위한 메시지 DLL 파일이나 필요한 레지스트리 정보가 없거나 여기에 액세스할 수 있는 사용 권한이 없기 때문일 수 있습니다. 다음 정보는 이벤트의 일부입니다.'3772', '195623746', '0', '0', '0', '195623746', '0', '91', 'false', '4', '0', '0', 'false', '0', '469320', 'false', 'true', '0'","Microsoft-Windows-Kernel-Power","System.String[]","507","2017-04-12 오후 1:22:04","2017-04-12 오후 1:22:04","NT AUTHORITY\SYSTEM",,
"506","Jongwon-D","System.Byte[]","12478","(157)","157","Information","'Microsoft-Windows-Kernel-Power' 소스의 Event ID '506'에 대한 설명을 찾을 수 없습니다. 로컬 컴퓨터에 메시지를 표시하기 위한 메시지 DLL 파일이나 필요한 레지스트리 정보가 없거나 여기에 액세스할 수 있는 사용 권한이 없기 때문일 수 있습니다. 다음 정보는 이벤트의 일부입니다.'12'","Microsoft-Windows-Kernel-Power","System.String[]","506","2017-04-12 오후 1:18:48","2017-04-12 오후 1:18:48","NT AUTHORITY\SYSTEM",,
"507","Jongwon-D","System.Byte[]","12473","(158)","158","Information","'Microsoft-Windows-Kernel-Power' 소스의 Event ID '507'에 대한 설명을 찾을 수 없습니다. 로컬 컴퓨터에 메시지를 표시하기 위한 메시지 DLL 파일이나 필요한 레지스트리 정보가 없거나 여기에 액세스할 수 있는 사용 권한이 없기 때문일 수 있습니다. 다음 정보는 이벤트의 일부입니다.'2962', '64402715', '0', '0', '0', '64402715', '0', '91', 'false', '4', '0', '0', 'false', '0', '451822', 'false', 'true', '0'","Microsoft-Windows-Kernel-Power","System.String[]","507","2017-04-12 오후 12:36:47","2017-04-12 오후 12:36:47","NT AUTHORITY\SYSTEM",,
"506","Jongwon-D","System.Byte[]","12470","(157)","157","Information","'Microsoft-Windows-Kernel-Power' 소스의 Event ID '506'에 대한 설명을 찾을 수 없습니다. 로컬 컴퓨터에 메시지를 표시하기 위한 메시지 DLL 파일이나 필요한 레지스트리 정보가 없거나 여기에 액세스할 수 있는 사용 권한이 없기 때문일 수 있습니다. 다음 정보는 이벤트의 일부입니다.'12'","Microsoft-Windows-Kernel-Power","System.String[]","506","2017-04-12 오후 12:35:42","2017-04-12 오후 12:35:42","NT AUTHORITY\SYSTEM",,
"507","Jongwon-D","System.Byte[]","12469","(158)","158","Information","'Microsoft-Windows-Kernel-Power' 소스의 Event ID '507'에 대한 설명을 찾을 수 없습니다. 로컬 컴퓨터에 메시지를 표시하기 위한 메시지 DLL 파일이나 필요한 레지스트리 정보가 없거나 여기에 액세스할 수 있는 사용 권한이 없기 때문일 수 있습니다. 다음 정보는 이벤트의 일부입니다.'3814', '151017260', '0', '0', '0', '151017260', '0', '91', 'false', '4', '0', '0', 'false', '0', '451116', 'false', 'true', '0'","Microsoft-Windows-Kernel-Power","System.String[]","507","2017-04-12 오후 12:20:56","2017-04-12 오후 12:20:56","NT AUTHORITY\SYSTEM",,
"506","Jongwon-D","System.Byte[]","12467","(157)","157","Information","'Microsoft-Windows-Kernel-Power' 소스의 Event ID '506'에 대한 설명을 찾을 수 없습니다. 로컬 컴퓨터에 메시지를 표시하기 위한 메시지 DLL 파일이나 필요한 레지스트리 정보가 없거나 여기에 액세스할 수 있는 사용 권한이 없기 때문일 수 있습니다. 다음 정보는 이벤트의 일부입니다.'12'","Microsoft-Windows-Kernel-Power","System.String[]","506","2017-04-12 오후 12:18:25","2017-04-12 오후 12:18:25","NT AUTHORITY\SYSTEM",,
"507","Jongwon-D","System.Byte[]","12465","(158)","158","Information","'Microsoft-Windows-Kernel-Power' 소스의 Event ID '507'에 대한 설명을 찾을 수 없습니다. 로컬 컴퓨터에 메시지를 표시하기 위한 메시지 DLL 파일이나 필요한 레지스트리 정보가 없거나 여기에 액세스할 수 있는 사용 권한이 없기 때문일 수 있습니다. 다음 정보는 이벤트의 일부입니다.'2571', '74209064', '22072', '0', '0', '74209064', '0', '91', 'false', '4', '0', '8738364', 'false', '0', '360267', 'false', 'true', '0'","Microsoft-Windows-Kernel-Power","System.String[]","507","2017-04-12 오전 11:23:11","2017-04-12 오전 11:23:11","NT AUTHORITY\SYSTEM",,
"506","Jongwon-D","System.Byte[]","12464","(157)","157","Information","'Microsoft-Windows-Kernel-Power' 소스의 Event ID '506'에 대한 설명을 찾을 수 없습니다. 로컬 컴퓨터에 메시지를 표시하기 위한 메시지 DLL 파일이나 필요한 레지스트리 정보가 없거나 여기에 액세스할 수 있는 사용 권한이 없기 때문일 수 있습니다. 다음 정보는 이벤트의 일부입니다.'12'","Microsoft-Windows-Kernel-Power","System.String[]","506","2017-04-12 오전 11:21:57","2017-04-12 오전 11:21:57","NT AUTHORITY\SYSTEM",,
